3, 2, (0, 0), (0, 1, 2); 0 // 1
3, 2, (0, 0), (2, 0, 2); 0 // 1
3, 2, (0, 0), (1, 2, 1); 0 // 1
3, 2, (0, 0), (3, 1, 1); 0 // 1
3, 2, (0, 0), (5, 0, 1); 0 // 1
3, 2, (0, 0), (0, 4, 0); 0 // 1
3, 2, (0, 0), (2, 3, 0); 0 // 1
3, 2, (0, 0), (4, 2, 0); 0 // 1
3, 2, (0, 0), (6, 1, 0); 0 // 1
3, 2, (0, 0), (8, 0, 0); 0 // 1
3, 2, (1, 0), (1, 0, 2); 0 // 1
3, 2, (1, 0), (0, 2, 1); 0 // 1
3, 2, (1, 0), (2, 1, 1); 0 // 1
3, 2, (1, 0), (4, 0, 1); 0 // 1
3, 2, (1, 0), (1, 3, 0); 0 // 1
3, 2, (1, 0), (3, 2, 0); 0 // 1
3, 2, (1, 0), (5, 1, 0); 0 // 1
3, 2, (1, 0), (7, 0, 0); 0 // 1
3, 2, (2, 0), (0, 0, 2); 0 // 1
3, 2, (2, 0), (1, 1, 1); 1 // 362880
3, 2, (2, 0), (3, 0, 1); 1 // 181440
3, 2, (2, 0), (0, 3, 0); 1 // 181440
3, 2, (2, 0), (2, 2, 0); 1 // 90720
3, 2, (2, 0), (4, 1, 0); 1 // 45360
3, 2, (2, 0), (6, 0, 0); 1 // 22680
3, 2, (1, 1), (0, 0, 2); 0 // 1
3, 2, (1, 1), (1, 1, 1); 1 // 72576
3, 2, (1, 1), (3, 0, 1); 1 // 36288
3, 2, (1, 1), (0, 3, 0); 1 // 36288
3, 2, (1, 1), (2, 2, 0); 1 // 18144
3, 2, (1, 1), (4, 1, 0); 1 // 9072
3, 2, (1, 1), (6, 0, 0); 1 // 4536
3, 2, (3, 0), (0, 1, 1); 1 // 120960
3, 2, (3, 0), (2, 0, 1); 1 // 60480
3, 2, (3, 0), (1, 2, 0); 1 // 30240
3, 2, (3, 0), (3, 1, 0); 1 // 15120
3, 2, (3, 0), (5, 0, 0); 1 // 7560
3, 2, (2, 1), (0, 1, 1); 1 // 24192
3, 2, (2, 1), (2, 0, 1); 1 // 12096
3, 2, (2, 1), (1, 2, 0); 1 // 6048
3, 2, (2, 1), (3, 1, 0); 1 // 3024
3, 2, (2, 1), (5, 0, 0); 1 // 1512
3, 2, (4, 0), (1, 0, 1); 41 // 1451520
3, 2, (4, 0), (0, 2, 0); 41 // 725760
3, 2, (4, 0), (2, 1, 0); 41 // 362880
3, 2, (4, 0), (4, 0, 0); 41 // 181440
3, 2, (3, 1), (1, 0, 1); 41 // 290304
3, 2, (3, 1), (0, 2, 0); 41 // 145152
3, 2, (3, 1), (2, 1, 0); 41 // 72576
3, 2, (3, 1), (4, 0, 0); 41 // 36288
3, 2, (2, 2), (1, 0, 1); 11 // 51840
3, 2, (2, 2), (0, 2, 0); 11 // 25920
3, 2, (2, 2), (2, 1, 0); 11 // 12960
3, 2, (2, 2), (4, 0, 0); 11 // 6480
3, 2, (5, 0), (0, 0, 1); 31 // 967680
3, 2, (5, 0), (1, 1, 0); 23 // 193536
3, 2, (5, 0), (3, 0, 0); 23 // 96768
3, 2, (4, 1), (0, 0, 1); 31 // 193536
3, 2, (4, 1), (1, 1, 0); 115 // 193536
3, 2, (4, 1), (3, 0, 0); 115 // 96768
3, 2, (3, 2), (0, 0, 1); 31 // 96768
3, 2, (3, 2), (1, 1, 0); 139 // 120960
3, 2, (3, 2), (3, 0, 0); 139 // 60480
3, 2, (6, 0), (0, 1, 0); 41 // 580608
3, 2, (6, 0), (2, 0, 0); 41 // 290304
3, 2, (5, 1), (0, 1, 0); 205 // 580608
3, 2, (5, 1), (2, 0, 0); 205 // 290304
3, 2, (4, 2), (0, 1, 0); 2329 // 2903040
3, 2, (4, 2), (2, 0, 0); 2329 // 1451520
3, 2, (3, 3), (0, 1, 0); 1501 // 1451520
3, 2, (3, 3), (2, 0, 0); 1501 // 725760
3, 2, (7, 0), (1, 0, 0); 7 // 138240
3, 2, (6, 1), (1, 0, 0); 7 // 27648
3, 2, (5, 2), (1, 0, 0); 323 // 483840
3, 2, (4, 3), (1, 0, 0); 19 // 17920
3, 2, (8, 0), (0, 0, 0); 1 // 82944
3, 2, (7, 1), (0, 0, 0); 5 // 82944
3, 2, (6, 2), (0, 0, 0); 77 // 414720
3, 2, (5, 3), (0, 0, 0); 503 // 1451520
3, 2, (4, 4), (0, 0, 0); 607 // 1451520
