4, 1, (0), (0, 1, 0, 2); 0 // 1
4, 1, (0), (2, 0, 0, 2); 0 // 1
4, 1, (0), (0, 0, 2, 1); 0 // 1
4, 1, (0), (1, 1, 1, 1); 0 // 1
4, 1, (0), (3, 0, 1, 1); 0 // 1
4, 1, (0), (0, 3, 0, 1); 0 // 1
4, 1, (0), (2, 2, 0, 1); 0 // 1
4, 1, (0), (4, 1, 0, 1); 0 // 1
4, 1, (0), (6, 0, 0, 1); 0 // 1
4, 1, (0), (1, 0, 3, 0); 0 // 1
4, 1, (0), (0, 2, 2, 0); 0 // 1
4, 1, (0), (2, 1, 2, 0); 0 // 1
4, 1, (0), (4, 0, 2, 0); 0 // 1
4, 1, (0), (1, 3, 1, 0); 0 // 1
4, 1, (0), (3, 2, 1, 0); 0 // 1
4, 1, (0), (5, 1, 1, 0); 0 // 1
4, 1, (0), (7, 0, 1, 0); 0 // 1
4, 1, (0), (0, 5, 0, 0); 0 // 1
4, 1, (0), (2, 4, 0, 0); 0 // 1
4, 1, (0), (4, 3, 0, 0); 0 // 1
4, 1, (0), (6, 2, 0, 0); 0 // 1
4, 1, (0), (8, 1, 0, 0); 0 // 1
4, 1, (0), (10, 0, 0, 0); 0 // 1
4, 1, (1), (1, 0, 0, 2); 0 // 1
4, 1, (1), (0, 1, 1, 1); 1 // 14515200
4, 1, (1), (2, 0, 1, 1); 1 // 7257600
4, 1, (1), (1, 2, 0, 1); 1 // 3628800
4, 1, (1), (3, 1, 0, 1); 1 // 1814400
4, 1, (1), (5, 0, 0, 1); 1 // 907200
4, 1, (1), (0, 0, 3, 0); 1 // 7257600
4, 1, (1), (1, 1, 2, 0); 1 // 1814400
4, 1, (1), (3, 0, 2, 0); 1 // 907200
4, 1, (1), (0, 3, 1, 0); 1 // 1036800
4, 1, (1), (2, 2, 1, 0); 1 // 518400
4, 1, (1), (4, 1, 1, 0); 1 // 259200
4, 1, (1), (6, 0, 1, 0); 1 // 129600
4, 1, (1), (1, 4, 0, 0); 1 // 302400
4, 1, (1), (3, 3, 0, 0); 1 // 151200
4, 1, (1), (5, 2, 0, 0); 1 // 75600
4, 1, (1), (7, 1, 0, 0); 1 // 37800
4, 1, (1), (9, 0, 0, 0); 1 // 18900
4, 1, (2), (0, 0, 0, 2); 0 // 1
4, 1, (2), (1, 0, 1, 1); 1 // 3628800
4, 1, (2), (0, 2, 0, 1); 1 // 1814400
4, 1, (2), (2, 1, 0, 1); 1 // 907200
4, 1, (2), (4, 0, 0, 1); 1 // 453600
4, 1, (2), (0, 1, 2, 0); 1 // 907200
4, 1, (2), (2, 0, 2, 0); 1 // 453600
4, 1, (2), (1, 2, 1, 0); 1 // 259200
4, 1, (2), (3, 1, 1, 0); 1 // 129600
4, 1, (2), (5, 0, 1, 0); 1 // 64800
4, 1, (2), (0, 4, 0, 0); 1 // 151200
4, 1, (2), (2, 3, 0, 0); 1 // 75600
4, 1, (2), (4, 2, 0, 0); 1 // 37800
4, 1, (2), (6, 1, 0, 0); 1 // 18900
4, 1, (2), (8, 0, 0, 0); 1 // 9450
4, 1, (3), (0, 0, 1, 1); 1 // 3225600
4, 1, (3), (1, 1, 0, 1); 1 // 777600
4, 1, (3), (3, 0, 0, 1); 1 // 388800
4, 1, (3), (1, 0, 2, 0); 1 // 388800
4, 1, (3), (0, 2, 1, 0); 197 // 43545600
4, 1, (3), (2, 1, 1, 0); 197 // 21772800
4, 1, (3), (4, 0, 1, 0); 197 // 10886400
4, 1, (3), (1, 3, 0, 0); 169 // 10886400
4, 1, (3), (3, 2, 0, 0); 169 // 5443200
4, 1, (3), (5, 1, 0, 0); 169 // 2721600
4, 1, (3), (7, 0, 0, 0); 169 // 1360800
4, 1, (4), (0, 1, 0, 1); 127 // 116121600
4, 1, (4), (2, 0, 0, 1); 127 // 58060800
4, 1, (4), (0, 0, 2, 0); 127 // 58060800
4, 1, (4), (1, 1, 1, 0); 1343 // 174182400
4, 1, (4), (3, 0, 1, 0); 1343 // 87091200
4, 1, (4), (0, 3, 0, 0); 461 // 34836480
4, 1, (4), (2, 2, 0, 0); 461 // 17418240
4, 1, (4), (4, 1, 0, 0); 461 // 8709120
4, 1, (4), (6, 0, 0, 0); 461 // 4354560
4, 1, (5), (1, 0, 0, 1); 103 // 69672960
4, 1, (5), (0, 1, 1, 0); 17 // 3317760
4, 1, (5), (2, 0, 1, 0); 17 // 1658880
4, 1, (5), (1, 2, 0, 0); 611 // 34836480
4, 1, (5), (3, 1, 0, 0); 611 // 17418240
4, 1, (5), (5, 0, 0, 0); 611 // 8709120
4, 1, (6), (0, 0, 0, 1); 127 // 154828800
4, 1, (6), (1, 0, 1, 0); 1859 // 348364800
4, 1, (6), (0, 2, 0, 0); 899 // 99532800
4, 1, (6), (2, 1, 0, 0); 899 // 49766400
4, 1, (6), (4, 0, 0, 0); 899 // 24883200
4, 1, (7), (0, 0, 1, 0); 13 // 6220800
4, 1, (7), (1, 1, 0, 0); 269 // 38707200
4, 1, (7), (3, 0, 0, 0); 269 // 19353600
4, 1, (8), (0, 1, 0, 0); 1357 // 696729600
4, 1, (8), (2, 0, 0, 0); 1357 // 348364800
4, 1, (9), (1, 0, 0, 0); 1 // 1244160
4, 1, (10), (0, 0, 0, 0); 1 // 7962624
