1, 8, (0, 0, 0, 0, 0, 0, 0, 0), (8); 0 // 1
1, 8, (1, 0, 0, 0, 0, 0, 0, 0), (7); 0 // 1
1, 8, (2, 0, 0, 0, 0, 0, 0, 0), (6); 0 // 1
1, 8, (1, 1, 0, 0, 0, 0, 0, 0), (6); 0 // 1
1, 8, (3, 0, 0, 0, 0, 0, 0, 0), (5); 0 // 1
1, 8, (2, 1, 0, 0, 0, 0, 0, 0), (5); 0 // 1
1, 8, (1, 1, 1, 0, 0, 0, 0, 0), (5); 0 // 1
1, 8, (4, 0, 0, 0, 0, 0, 0, 0), (4); 0 // 1
1, 8, (3, 1, 0, 0, 0, 0, 0, 0), (4); 0 // 1
1, 8, (2, 2, 0, 0, 0, 0, 0, 0), (4); 0 // 1
1, 8, (2, 1, 1, 0, 0, 0, 0, 0), (4); 0 // 1
1, 8, (1, 1, 1, 1, 0, 0, 0, 0), (4); 0 // 1
1, 8, (5, 0, 0, 0, 0, 0, 0, 0), (3); 0 // 1
1, 8, (4, 1, 0, 0, 0, 0, 0, 0), (3); 0 // 1
1, 8, (3, 2, 0, 0, 0, 0, 0, 0), (3); 0 // 1
1, 8, (3, 1, 1, 0, 0, 0, 0, 0), (3); 0 // 1
1, 8, (2, 2, 1, 0, 0, 0, 0, 0), (3); 0 // 1
1, 8, (2, 1, 1, 1, 0, 0, 0, 0), (3); 0 // 1
1, 8, (1, 1, 1, 1, 1, 0, 0, 0), (3); 0 // 1
1, 8, (6, 0, 0, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (5, 1, 0, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (4, 2, 0, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (3, 3, 0, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (4, 1, 1, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (3, 2, 1, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (2, 2, 2, 0, 0, 0, 0, 0), (2); 0 // 1
1, 8, (3, 1, 1, 1, 0, 0, 0, 0), (2); 0 // 1
1, 8, (2, 2, 1, 1, 0, 0, 0, 0), (2); 0 // 1
1, 8, (2, 1, 1, 1, 1, 0, 0, 0), (2); 0 // 1
1, 8, (1, 1, 1, 1, 1, 1, 0, 0), (2); 0 // 1
1, 8, (7, 0, 0, 0, 0, 0, 0, 0), (1); 1 // 24
1, 8, (6, 1, 0, 0, 0, 0, 0, 0), (1); 7 // 24
1, 8, (5, 2, 0, 0, 0, 0, 0, 0), (1); 7 // 8
1, 8, (4, 3, 0, 0, 0, 0, 0, 0), (1); 35 // 24
1, 8, (5, 1, 1, 0, 0, 0, 0, 0), (1); 7 // 4
1, 8, (4, 2, 1, 0, 0, 0, 0, 0), (1); 35 // 8
1, 8, (3, 3, 1, 0, 0, 0, 0, 0), (1); 35 // 6
1, 8, (3, 2, 2, 0, 0, 0, 0, 0), (1); 35 // 4
1, 8, (4, 1, 1, 1, 0, 0, 0, 0), (1); 35 // 4
1, 8, (3, 2, 1, 1, 0, 0, 0, 0), (1); 35 // 2
1, 8, (2, 2, 2, 1, 0, 0, 0, 0), (1); 105 // 4
1, 8, (3, 1, 1, 1, 1, 0, 0, 0), (1); 35 // 1
1, 8, (2, 2, 1, 1, 1, 0, 0, 0), (1); 105 // 2
1, 8, (2, 1, 1, 1, 1, 1, 0, 0), (1); 105 // 1
1, 8, (1, 1, 1, 1, 1, 1, 1, 0), (1); 210 // 1
1, 8, (8, 0, 0, 0, 0, 0, 0, 0), (0); 1 // 24
1, 8, (7, 1, 0, 0, 0, 0, 0, 0), (0); 7 // 24
1, 8, (6, 2, 0, 0, 0, 0, 0, 0), (0); 11 // 12
1, 8, (5, 3, 0, 0, 0, 0, 0, 0), (0); 41 // 24
1, 8, (4, 4, 0, 0, 0, 0, 0, 0), (0); 25 // 12
1, 8, (6, 1, 1, 0, 0, 0, 0, 0), (0); 7 // 4
1, 8, (5, 2, 1, 0, 0, 0, 0, 0), (0); 14 // 3
1, 8, (4, 3, 1, 0, 0, 0, 0, 0), (0); 175 // 24
1, 8, (4, 2, 2, 0, 0, 0, 0, 0), (0); 125 // 12
1, 8, (3, 3, 2, 0, 0, 0, 0, 0), (0); 40 // 3
1, 8, (5, 1, 1, 1, 0, 0, 0, 0), (0); 35 // 4
1, 8, (4, 2, 1, 1, 0, 0, 0, 0), (0); 77 // 4
1, 8, (3, 3, 1, 1, 0, 0, 0, 0), (0); 49 // 2
1, 8, (3, 2, 2, 1, 0, 0, 0, 0), (0); 413 // 12
1, 8, (2, 2, 2, 2, 0, 0, 0, 0), (0); 48 // 1
1, 8, (4, 1, 1, 1, 1, 0, 0, 0), (0); 35 // 1
1, 8, (3, 2, 1, 1, 1, 0, 0, 0), (0); 245 // 4
1, 8, (2, 2, 2, 1, 1, 0, 0, 0), (0); 84 // 1
1, 8, (3, 1, 1, 1, 1, 1, 0, 0), (0); 105 // 1
1, 8, (2, 2, 1, 1, 1, 1, 0, 0), (0); 140 // 1
1, 8, (2, 1, 1, 1, 1, 1, 1, 0), (0); 210 // 1
1, 8, (1, 1, 1, 1, 1, 1, 1, 1), (0); 210 // 1
