2, 2, (0, 0), (1, 2); 0 // 1
2, 2, (0, 0), (3, 1); 0 // 1
2, 2, (0, 0), (5, 0); 0 // 1
2, 2, (1, 0), (0, 2); 0 // 1
2, 2, (1, 0), (2, 1); 0 // 1
2, 2, (1, 0), (4, 0); 0 // 1
2, 2, (2, 0), (1, 1); 1 // 2880
2, 2, (2, 0), (3, 0); 1 // 1440
2, 2, (1, 1), (1, 1); 1 // 960
2, 2, (1, 1), (3, 0); 1 // 480
2, 2, (3, 0), (0, 1); 7 // 5760
2, 2, (3, 0), (2, 0); 7 // 2880
2, 2, (2, 1), (0, 1); 7 // 1920
2, 2, (2, 1), (2, 0); 7 // 960
2, 2, (4, 0), (1, 0); 1 // 480
2, 2, (3, 1), (1, 0); 1 // 160
2, 2, (2, 2), (1, 0); 5 // 576
2, 2, (5, 0), (0, 0); 1 // 1152
2, 2, (4, 1), (0, 0); 1 // 384
2, 2, (3, 2), (0, 0); 29 // 5760
