5, 1, (0), (0, 0, 1, 0, 2); 0 // 1
5, 1, (0), (1, 1, 0, 0, 2); 0 // 1
5, 1, (0), (3, 0, 0, 0, 2); 0 // 1
5, 1, (0), (0, 0, 0, 2, 1); 0 // 1
5, 1, (0), (1, 0, 1, 1, 1); 0 // 1
5, 1, (0), (0, 2, 0, 1, 1); 0 // 1
5, 1, (0), (2, 1, 0, 1, 1); 0 // 1
5, 1, (0), (4, 0, 0, 1, 1); 0 // 1
5, 1, (0), (0, 1, 2, 0, 1); 0 // 1
5, 1, (0), (2, 0, 2, 0, 1); 0 // 1
5, 1, (0), (1, 2, 1, 0, 1); 0 // 1
5, 1, (0), (3, 1, 1, 0, 1); 0 // 1
5, 1, (0), (5, 0, 1, 0, 1); 0 // 1
5, 1, (0), (0, 4, 0, 0, 1); 0 // 1
5, 1, (0), (2, 3, 0, 0, 1); 0 // 1
5, 1, (0), (4, 2, 0, 0, 1); 0 // 1
5, 1, (0), (6, 1, 0, 0, 1); 0 // 1
5, 1, (0), (8, 0, 0, 0, 1); 0 // 1
5, 1, (0), (1, 0, 0, 3, 0); 0 // 1
5, 1, (0), (0, 1, 1, 2, 0); 0 // 1
5, 1, (0), (2, 0, 1, 2, 0); 0 // 1
5, 1, (0), (1, 2, 0, 2, 0); 0 // 1
5, 1, (0), (3, 1, 0, 2, 0); 0 // 1
5, 1, (0), (5, 0, 0, 2, 0); 0 // 1
5, 1, (0), (0, 0, 3, 1, 0); 0 // 1
5, 1, (0), (1, 1, 2, 1, 0); 0 // 1
5, 1, (0), (3, 0, 2, 1, 0); 0 // 1
5, 1, (0), (0, 3, 1, 1, 0); 0 // 1
5, 1, (0), (2, 2, 1, 1, 0); 0 // 1
5, 1, (0), (4, 1, 1, 1, 0); 0 // 1
5, 1, (0), (6, 0, 1, 1, 0); 0 // 1
5, 1, (0), (1, 4, 0, 1, 0); 0 // 1
5, 1, (0), (3, 3, 0, 1, 0); 0 // 1
5, 1, (0), (5, 2, 0, 1, 0); 0 // 1
5, 1, (0), (7, 1, 0, 1, 0); 0 // 1
5, 1, (0), (9, 0, 0, 1, 0); 0 // 1
5, 1, (0), (1, 0, 4, 0, 0); 0 // 1
5, 1, (0), (0, 2, 3, 0, 0); 0 // 1
5, 1, (0), (2, 1, 3, 0, 0); 0 // 1
5, 1, (0), (4, 0, 3, 0, 0); 0 // 1
5, 1, (0), (1, 3, 2, 0, 0); 0 // 1
5, 1, (0), (3, 2, 2, 0, 0); 0 // 1
5, 1, (0), (5, 1, 2, 0, 0); 0 // 1
5, 1, (0), (7, 0, 2, 0, 0); 0 // 1
5, 1, (0), (0, 5, 1, 0, 0); 0 // 1
5, 1, (0), (2, 4, 1, 0, 0); 0 // 1
5, 1, (0), (4, 3, 1, 0, 0); 0 // 1
5, 1, (0), (6, 2, 1, 0, 0); 0 // 1
5, 1, (0), (8, 1, 1, 0, 0); 0 // 1
5, 1, (0), (10, 0, 1, 0, 0); 0 // 1
5, 1, (0), (1, 6, 0, 0, 0); 0 // 1
5, 1, (0), (3, 5, 0, 0, 0); 0 // 1
5, 1, (0), (5, 4, 0, 0, 0); 0 // 1
5, 1, (0), (7, 3, 0, 0, 0); 0 // 1
5, 1, (0), (9, 2, 0, 0, 0); 0 // 1
5, 1, (0), (11, 1, 0, 0, 0); 0 // 1
5, 1, (0), (13, 0, 0, 0, 0); 0 // 1
5, 1, (1), (0, 1, 0, 0, 2); 0 // 1
5, 1, (1), (2, 0, 0, 0, 2); 0 // 1
5, 1, (1), (0, 0, 1, 1, 1); 1 // 319334400
5, 1, (1), (1, 1, 0, 1, 1); 1 // 95800320
5, 1, (1), (3, 0, 0, 1, 1); 1 // 47900160
5, 1, (1), (1, 0, 2, 0, 1); 1 // 47900160
5, 1, (1), (0, 2, 1, 0, 1); 17 // 479001600
5, 1, (1), (2, 1, 1, 0, 1); 17 // 239500800
5, 1, (1), (4, 0, 1, 0, 1); 17 // 119750400
5, 1, (1), (1, 3, 0, 0, 1); 29 // 239500800
5, 1, (1), (3, 2, 0, 0, 1); 29 // 119750400
5, 1, (1), (5, 1, 0, 0, 1); 29 // 59875200
5, 1, (1), (7, 0, 0, 0, 1); 29 // 29937600
5, 1, (1), (0, 0, 0, 3, 0); 1 // 159667200
5, 1, (1), (1, 0, 1, 2, 0); 1 // 23950080
5, 1, (1), (0, 2, 0, 2, 0); 17 // 239500800
5, 1, (1), (2, 1, 0, 2, 0); 17 // 119750400
5, 1, (1), (4, 0, 0, 2, 0); 17 // 59875200
5, 1, (1), (0, 1, 2, 1, 0); 29 // 239500800
5, 1, (1), (2, 0, 2, 1, 0); 29 // 119750400
5, 1, (1), (1, 2, 1, 1, 0); 1 // 2494800
5, 1, (1), (3, 1, 1, 1, 0); 1 // 1247400
5, 1, (1), (5, 0, 1, 1, 0); 1 // 623700
5, 1, (1), (0, 4, 0, 1, 0); 79 // 119750400
5, 1, (1), (2, 3, 0, 1, 0); 79 // 59875200
5, 1, (1), (4, 2, 0, 1, 0); 79 // 29937600
5, 1, (1), (6, 1, 0, 1, 0); 79 // 14968800
5, 1, (1), (8, 0, 0, 1, 0); 79 // 7484400
5, 1, (1), (0, 0, 4, 0, 0); 1 // 4989600
5, 1, (1), (1, 1, 3, 0, 0); 79 // 119750400
5, 1, (1), (3, 0, 3, 0, 0); 79 // 59875200
5, 1, (1), (0, 3, 2, 0, 0); 43 // 39916800
5, 1, (1), (2, 2, 2, 0, 0); 43 // 19958400
5, 1, (1), (4, 1, 2, 0, 0); 43 // 9979200
5, 1, (1), (6, 0, 2, 0, 0); 43 // 4989600
5, 1, (1), (1, 4, 1, 0, 0); 1 // 285120
5, 1, (1), (3, 3, 1, 0, 0); 1 // 142560
5, 1, (1), (5, 2, 1, 0, 0); 1 // 71280
5, 1, (1), (7, 1, 1, 0, 0); 1 // 35640
5, 1, (1), (9, 0, 1, 0, 0); 1 // 17820
5, 1, (1), (0, 6, 0, 0, 0); 31 // 5443200
5, 1, (1), (2, 5, 0, 0, 0); 31 // 2721600
5, 1, (1), (4, 4, 0, 0, 0); 31 // 1360800
5, 1, (1), (6, 3, 0, 0, 0); 31 // 680400
5, 1, (1), (8, 2, 0, 0, 0); 31 // 340200
5, 1, (1), (10, 1, 0, 0, 0); 31 // 170100
5, 1, (1), (12, 0, 0, 0, 0); 31 // 85050
5, 1, (2), (1, 0, 0, 0, 2); 0 // 1
5, 1, (2), (0, 1, 0, 1, 1); 1 // 63866880
5, 1, (2), (2, 0, 0, 1, 1); 1 // 31933440
5, 1, (2), (0, 0, 2, 0, 1); 1 // 31933440
5, 1, (2), (1, 1, 1, 0, 1); 17 // 159667200
5, 1, (2), (3, 0, 1, 0, 1); 17 // 79833600
